Date,Time,Temp,Humi,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:01,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:11,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:21,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:31,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:41,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:13:51,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:01,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:11,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:21,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:31,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:41,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:14:51,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:01,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:12,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:22,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:32,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:42,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:15:52,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:02,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:12,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:22,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:32,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:42,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:16:52,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:02,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:12,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:22,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:32,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:42,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:17:52,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:02,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:12,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:22,30.3,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:32,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:42,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:18:52,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:02,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:12,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:22,30.4,79,,,,,,,,,,,,,,,,,,,,,,
